census_tract_number,minority_population,n,race_ethnicity,percentage_applications
1,18,107,Black_or_African_American,1
1,18,107,White,88
2.02,20,83,Black_or_African_American,0
2.02,20,83,White,80
3,21,83,Black_or_African_American,1
3,21,83,White,92
4,34,13,Black_or_African_American,0
4,34,13,White,77
5.01,29,14,Black_or_African_American,0
5.01,29,14,White,100
5.02,21,47,Black_or_African_American,0
5.02,21,47,White,83
6,25,82,Black_or_African_American,4
6,25,82,White,91
7.01,25,89,Black_or_African_American,3
7.01,25,89,White,83
7.02,21,52,Black_or_African_American,4
7.02,21,52,White,69
8.01,25,129,Black_or_African_American,9
8.01,25,129,White,79
8.02,36,43,Black_or_African_American,0
8.02,36,43,White,86
9.01,27,68,Black_or_African_American,1
9.01,27,68,White,97
9.02,24,33,Black_or_African_American,3
9.02,24,33,White,94
10.01,26,105,Black_or_African_American,3
10.01,26,105,White,86
10.02,26,66,Black_or_African_American,6
10.02,26,66,White,88
11,27,70,Black_or_African_American,9
11,27,70,White,86
12,23,45,Black_or_African_American,2
12,23,45,White,71
13.01,26,17,Black_or_African_American,18
13.01,26,17,White,82
13.02,29,82,Black_or_African_American,4
13.02,29,82,White,83
14.01,24,25,Black_or_African_American,0
14.01,24,25,White,88
14.02,36,42,Black_or_African_American,2
14.02,36,42,White,86
15,20,68,Black_or_African_American,3
15,20,68,White,91
16,76,44,Black_or_African_American,36
16,76,44,White,61
17.02,64,46,Black_or_African_American,20
17.02,64,46,White,70
18.03,94,16,Black_or_African_American,50
18.03,94,16,White,25
18.04,97,23,Black_or_African_American,48
18.04,97,23,White,22
19.01,92,58,Black_or_African_American,16
19.01,92,58,White,57
19.02,90,35,Black_or_African_American,31
19.02,90,35,White,51
20.01,76,35,Black_or_African_American,34
20.01,76,35,White,40
20.02,84,45,Black_or_African_American,20
20.02,84,45,White,60
21.01,95,76,Black_or_African_American,20
21.01,95,76,White,58
21.02,91,92,Black_or_African_American,29
21.02,91,92,White,60
22.01,90,40,Black_or_African_American,2
22.01,90,40,White,75
22.02,96,43,Black_or_African_American,23
22.02,96,43,White,65
23.01,77,47,Black_or_African_American,13
23.01,77,47,White,77
23.02,61,16,Black_or_African_American,19
23.02,61,16,White,75
24,82,63,Black_or_African_American,8
24,82,63,White,81
25.01,77,57,Black_or_African_American,9
25.01,77,57,White,72
25.02,82,69,Black_or_African_American,10
25.02,82,69,White,75
26,55,21,Black_or_African_American,24
26,55,21,White,76
27.01,50,48,Black_or_African_American,2
27.01,50,48,White,92
27.02,47,59,Black_or_African_American,0
27.02,47,59,White,93
28.01,82,22,Black_or_African_American,9
28.01,82,22,White,82
28.02,75,59,Black_or_African_American,7
28.02,75,59,White,76
29,59,74,Black_or_African_American,5
29,59,74,White,77
30,60,48,Black_or_African_American,4
30,60,48,White,60
31,74,76,Black_or_African_American,3
31,74,76,White,78
32,83,84,Black_or_African_American,12
32,83,84,White,76
33.01,53,93,Black_or_African_American,9
33.01,53,93,White,85
33.02,61,54,Black_or_African_American,2
33.02,61,54,White,87
34,74,45,Black_or_African_American,9
34,74,45,White,80
35,85,63,Black_or_African_American,6
35,85,63,White,76
36,54,68,Black_or_African_American,3
36,54,68,White,72
37,66,72,Black_or_African_American,12
37,66,72,White,81
38,43,112,Black_or_African_American,4
38,43,112,White,71
39,27,68,Black_or_African_American,1
39,27,68,White,79
40.01,21,92,Black_or_African_American,1
40.01,21,92,White,86
40.02,20,70,Black_or_African_American,1
40.02,20,70,White,83
41,25,29,Black_or_African_American,7
41,25,29,White,79
42.01,22,87,Black_or_African_American,6
42.01,22,87,White,78
42.02,23,46,Black_or_African_American,7
42.02,23,46,White,72
43,48,58,Black_or_African_American,5
43,48,58,White,86
44,32,152,Black_or_African_American,3
44,32,152,White,80
46,69,72,Black_or_African_American,4
46,69,72,White,72
47.01,85,35,Black_or_African_American,11
47.01,85,35,White,57
47.02,50,35,Black_or_African_American,6
47.02,50,35,White,71
48.01,65,65,Black_or_African_American,9
48.01,65,65,White,85
48.02,75,39,Black_or_African_American,8
48.02,75,39,White,72
49.01,66,24,Black_or_African_American,8
49.01,66,24,White,75
49.02,56,137,Black_or_African_American,3
49.02,56,137,White,72
50.01,39,40,Black_or_African_American,5
50.01,39,40,White,72
50.02,54,163,Black_or_African_American,2
50.02,54,163,White,75
52.01,28,178,Black_or_African_American,2
52.01,28,178,White,75
53.01,24,109,Black_or_African_American,4
53.01,24,109,White,74
55,32,125,Black_or_African_American,1
55,32,125,White,70
56,32,75,Black_or_African_American,0
56,32,75,White,69
58,38,82,Black_or_African_American,5
58,38,82,White,80
59,44,14,Black_or_African_American,0
59,44,14,White,64
62.02,44,1,Black_or_African_American,0
62.02,44,1,White,0
64,92,13,Black_or_African_American,23
64,92,13,White,46
65,26,36,Black_or_African_American,3
65,26,36,White,89
66,15,35,Black_or_African_American,3
66,15,35,White,83
67,22,65,Black_or_African_American,5
67,22,65,White,95
68.01,64,66,Black_or_African_American,11
68.01,64,66,White,77
68.02,49,127,Black_or_African_American,10
68.02,49,127,White,80
69,31,51,Black_or_African_American,8
69,31,51,White,92
70,34,36,Black_or_African_American,6
70,34,36,White,86
71,62,83,Black_or_African_American,8
71,62,83,White,73
72,35,36,Black_or_African_American,3
72,35,36,White,81
73.01,39,1,Black_or_African_American,100
73.01,39,1,White,0
73.04,97,87,Black_or_African_American,78
73.04,97,87,White,10
74.01,100,13,Black_or_African_American,69
74.01,100,13,White,31
74.03,99,10,Black_or_African_American,80
74.03,99,10,White,20
74.04,99,31,Black_or_African_American,61
74.04,99,31,White,6
74.06,100,9,Black_or_African_American,56
74.06,100,9,White,11
74.07,99,93,Black_or_African_American,74
74.07,99,93,White,20
74.08,99,8,Black_or_African_American,100
74.08,99,8,White,0
74.09,99,35,Black_or_African_American,94
74.09,99,35,White,6
75.02,99,19,Black_or_African_American,84
75.02,99,19,White,5
75.03,99,37,Black_or_African_American,57
75.03,99,37,White,43
75.04,100,30,Black_or_African_American,73
75.04,100,30,White,17
76.01,98,68,Black_or_African_American,49
76.01,98,68,White,43
76.03,94,56,Black_or_African_American,75
76.03,94,56,White,23
76.04,96,31,Black_or_African_American,81
76.04,96,31,White,16
76.05,98,25,Black_or_African_American,56
76.05,98,25,White,44
77.03,100,25,Black_or_African_American,76
77.03,100,25,White,20
77.07,100,60,Black_or_African_American,78
77.07,100,60,White,7
77.08,100,17,Black_or_African_American,76
77.08,100,17,White,18
77.09,99,26,Black_or_African_American,69
77.09,99,26,White,23
78.03,99,50,Black_or_African_American,64
78.03,99,50,White,16
78.04,100,52,Black_or_African_American,67
78.04,100,52,White,17
78.06,97,39,Black_or_African_American,51
78.06,97,39,White,26
78.07,100,21,Black_or_African_American,81
78.07,100,21,White,5
78.08,100,64,Black_or_African_American,83
78.08,100,64,White,3
78.09,98,59,Black_or_African_American,80
78.09,98,59,White,12
79.01,81,82,Black_or_African_American,12
79.01,81,82,White,72
79.03,83,41,Black_or_African_American,7
79.03,83,41,White,90
80.01,49,61,Black_or_African_American,10
80.01,49,61,White,87
80.02,41,80,Black_or_African_American,6
80.02,41,80,White,90
81,25,74,Black_or_African_American,4
