census_tract_number,Asian,Black_or_African_American,Hispanic_or_Latino,White,minority_population,n,census_tract_id,white_population,white_application_percentage,white_application_population_delta
1,0.08411214953271028,0.009345794392523364,0.028037383177570093,0.8785046728971962,18.139999389648438,107,000100,81.86000061035156,87.85046728971963,5.990466679368069
2.02,0.13253012048192772,0,0.07228915662650602,0.7951807228915663,20.239999771118164,83,000202,79.76000022888184,79.51807228915662,-0.24192793972521542
3,0.012048192771084338,0.012048192771084338,0.060240963855421686,0.9156626506024096,20.950000762939453,83,000300,79.04999923706055,91.56626506024097,12.516265823180419
4,0,0,0.23076923076923078,0.7692307692307693,33.900001525878906,13,000400,66.0999984741211,76.92307692307693,10.82307844895584
5.01,0,0,0,1,28.579999923706055,14,000501,71.42000007629395,100,28.579999923706055
5.02,0.1276595744680851,0,0.0425531914893617,0.8297872340425532,21.09000015258789,47,000502,78.90999984741211,82.97872340425532,4.06872355684321
6,0.012195121951219513,0.036585365853658534,0.036585365853658534,0.9146341463414634,25.100000381469727,82,000600,74.89999961853027,91.46341463414635,16.563415015616073
7.01,0.0449438202247191,0.033707865168539325,0.0898876404494382,0.8314606741573034,25.31999969482422,89,000701,74.68000030517578,83.14606741573034,8.466067110554562
7.02,0.19230769230769232,0.038461538461538464,0.07692307692307693,0.6923076923076923,21.020000457763672,52,000702,78.97999954223633,69.23076923076923,-9.749230311467102
8.01,0.10077519379844961,0.08527131782945736,0.023255813953488372,0.7906976744186046,25.190000534057617,129,000801,74.80999946594238,79.06976744186046,4.259767975918081
8.02,0.11627906976744186,0,0.023255813953488372,0.8604651162790697,35.7400016784668,43,000802,64.2599983215332,86.04651162790698,21.786513306373777
9.01,0.014705882352941176,0.014705882352941176,0,0.9705882352941176,27.239999771118164,68,000901,72.76000022888184,97.05882352941177,24.298823300529932
9.02,0.030303030303030304,0.030303030303030304,0,0.9393939393939394,23.709999084472656,33,000902,76.29000091552734,93.93939393939394,17.649393023866594
10.01,0.0761904761904762,0.02857142857142857,0.0380952380952381,0.8571428571428571,25.719999313354492,105,001001,74.28000068664551,85.71428571428571,11.4342850276402
10.02,0,0.06060606060606061,0.06060606060606061,0.8787878787878788,25.709999084472656,66,001002,74.29000091552734,87.87878787878788,13.588786963260532
11,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.8571428571428571,26.799999237060547,70,001100,73.20000076293945,85.71428571428571,12.514284951346255
12,0.17777777777777778,0.022222222222222223,0.08888888888888889,0.7111111111111111,23.149999618530273,45,001200,76.85000038146973,71.11111111111111,-5.738889270358612
13.01,0,0.17647058823529413,0,0.8235294117647058,25.899999618530273,17,001301,74.10000038146973,82.35294117647058,8.252940795000853
13.02,0.08536585365853659,0.036585365853658534,0.04878048780487805,0.8292682926829268,29.229999542236328,82,001302,70.77000045776367,82.92682926829268,12.156828810529007
14.01,0.12,0,0,0.88,23.829999923706055,25,001401,76.17000007629395,88,11.829999923706055
14.02,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.8571428571428571,35.790000915527344,42,001402,64.20999908447266,85.71428571428571,21.504286629813052
15,0,0.029411764705882353,0.058823529411764705,0.9117647058823529,20.219999313354492,68,001500,79.78000068664551,91.17647058823529,11.396469901589782
16,0,0.36363636363636365,0.022727272727272728,0.6136363636363636,76.16999816894531,44,001600,23.830001831054688,61.36363636363637,37.53363453258168
17.02,0.06521739130434782,0.1956521739130435,0.043478260869565216,0.6956521739130435,63.79999923706055,46,001702,36.20000076293945,69.56521739130434,33.36521662836489
18.03,0.125,0.5,0.125,0.25,93.62000274658203,16,001803,6.379997253417969,25,18.62000274658203
18.04,0.08695652173913043,0.4782608695652174,0.21739130434782608,0.21739130434782608,96.529998779296875,23,001804,3.470001220703125,21.73913043478261,18.269129214079484
19.01,0.13793103448275862,0.15517241379310345,0.13793103448275862,0.5689655172413793,91.56999969482422,58,001901,8.430000305175781,56.896551724137936,48.466551418962155
19.02,0.02857142857142857,0.3142857142857143,0.14285714285714285,0.5142857142857142,90.19999694824219,35,001902,9.8000030517578125,51.42857142857142,41.62856837681361
20.01,0.05714285714285714,0.34285714285714286,0.2,0.4,75.529998779296875,35,002001,24.470001220703125,40,15.529998779296875
20.02,0.06666666666666667,0.2,0.13333333333333333,0.6,83.58000183105469,45,002002,16.419998168945312,60,43.58000183105469
21.01,0.039473684210526314,0.19736842105263158,0.18421052631578946,0.5789473684210527,94.5199966430664,76,002101,5.480003356933594,57.89473684210527,52.41473348517167
21.02,0.05434782608695652,0.29347826086956524,0.05434782608695652,0.5978260869565217,91.470001220703125,92,002102,8.529998779296875,59.78260869565217,51.2526099163553
22.01,0.05,0.025,0.175,0.75,90.19999694824219,40,002201,9.8000030517578125,75,65.19999694824219
